Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"7,2882E-09","-0,031299","0,09321",0,0,0,"156,38","3,3116","1,7604E-07","4,5615E-07","2,6533","0,31966","3,8906",0,0,0,0,0,0,package://assembly/meshes/base_link.STL,"0,52941","0,54902","0,54902",1,0,0,0,0,0,0,package://assembly/meshes/base_link.STL,,base-1,Sistema de coordenadas0_1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"1,5626E-10","4,0584E-18","0,37308",0,0,0,"39,19","0,75974","-3,3961E-09","3,425E-09","0,83177","-2,5007E-17","0,29562",0,0,0,0,0,0,package://assembly/meshes/link_1.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://assembly/meshes/link_1.STL,,link1-1,Sistema de coordenadas0_1,Eje1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,"-3,142","3,142",,,,,,,,
link_2,"-5,5511E-17","-0,19156","8,393E-16",0,0,0,"41,743","1,931","-3,1353E-16","-4,0579E-12","0,42379","-1,0619E-17","1,676",0,0,0,0,0,0,package://assembly/meshes/link_2.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://assembly/meshes/link_2.STL,,link2-2,Sistema de coordenadas2,Eje2,joint_2,revolute,0,0,"0,496","-1,5708",0,0,link_1,0,0,1,200,3,"-1,57","1,57",,,,,,,,
link_3,"-0,12872","0,12909","0,01",0,0,0,"32,562","0,21848","0,14926","-4,3897E-10","0,89833","2,1175E-09","1,001",0,0,0,0,0,0,package://assembly/meshes/link_3.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://assembly/meshes/link_3.STL,,link3-1,Sistema de coordenadas3,Eje3,joint_3,revolute,0,"-0,5",0,"-3,1416",0,0,link_2,0,0,1,200,3,"-3,142",0,,,,,,,,
link_4,"0,0014239","0,023829","0,01",0,0,0,"2,1294","0,011214","-0,00043891","2,2551E-09","0,003895","2,7757E-10","0,012163",0,0,0,0,0,0,package://assembly/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://assembly/meshes/link_4.STL,,link4-2,Sistema de coordenadas4,Eje4,joint_4,revolute,"-0,41805","0,17024",0,0,0,"3,1416",link_3,0,0,1,200,3,"-3,142",0,,,,,,,,
