Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"7,28821085427267E-09","-0,0312986108746524","0,0932096931732312",0,0,0,"156,384128910965","3,31161275817224","1,76037861499098E-07","4,5614971942539E-07","2,65331734095352","0,319657739922467","3,8905939609168",0,0,0,0,0,0,package://assembly_sldsam/meshes/base_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://assembly_sldsam/meshes/base_link.STL,,base-1,Sistema de coordenadas1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"1,56260657191432E-10","0,213075746734315","-7,99728861713446E-16",0,0,0,"39,1896246119642","0,759744390185537","3,42502037191535E-09","3,39614759072279E-09","0,295622833052641","2,46623658252518E-17","0,831766902274228",0,0,0,0,0,0,package://assembly_sldsam/meshes/link_1.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://assembly_sldsam/meshes/link_1.STL,,link1-1,Origin_joint_1,Eje1,joint_1,revolute,0,0,"0,160000000000001","1,5707963267949",0,0,base_link,0,1,0,300,3,0,"3,142",,,,,,,,
link_2,"-6,93889390390723E-17","5,04362137595751E-17","0,687560014270784",0,0,0,"41,7432461481157","1,9310205220817","-4,05787283124103E-12","3,13727934198513E-16","1,67596873799866","4,98353574887817E-18","0,423793811309006",0,0,0,0,0,0,package://assembly_sldsam/meshes/link_2.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://assembly_sldsam/meshes/link_2.STL,,link2-2,Sistema de coordenadas1,Eje2,joint_2,revolute,0,"-0,160000000000001",0,"-1,5707963267949",0,0,link_1,0,-1,0,200,3,"-1,57","1,57",,,,,,,,
link_3,"-0,128715523660642","-0,0099999992916806","1,12508937145013",0,0,0,"32,5621950566976","0,218484293773647","4,38969593734953E-10","0,149263679838338","1,00099194941034","-2,11752432354073E-09","0,898333178003179",0,0,0,0,0,0,package://assembly_sldsam/meshes/link_3.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://assembly_sldsam/meshes/link_3.STL,,link3-1,Sistema de coordenadas1,Eje3,joint_3,revolute,0,0,0,0,0,0,link_2,0,-1,0,200,3,0,"3,142",,,,,,,,
link_4,"-0,419469400514689","-0,00999999728996523","1,14240924132159",0,0,0,"2,12944559509751","0,0112141063640005","2,25505386591347E-09","-0,000438905418450459","0,012163283947722","2,77566528765089E-10","0,00389498159164101",0,0,0,0,0,0,package://assembly_sldsam/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://assembly_sldsam/meshes/link_4.STL,,link4-2,Sistema de coordenadas1,Eje4,joint_4,revolute,0,0,0,0,0,0,link_3,0,1,0,200,3,0,"-3,142",,,,,,,,
