Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"7,28821085427267E-09","-0,0312986108746524","0,0932096931732312",0,0,0,"156,384128910965","3,31161275817224","1,76037861498254E-07","4,56149719410909E-07","2,65331734095352","0,319657739922467","3,8905939609168",0,0,0,0,0,0,package://assembly/meshes/base_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://assembly/meshes/base_link.STL,,base-1,Sistema de coordenadas0_1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"1,56254648109311E-10","-7,8860200028437E-16","0,373075746734315",0,0,0,"39,1896246119642","0,759744390185537","-3,39614758921302E-09","3,42502037078622E-09","0,831766902274228","-5,07622894875523E-17","0,295622833052641",0,0,0,0,0,0,package://assembly/meshes/link_1.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://assembly/meshes/link_1.STL,,link1-1,Sistema de coordenadas0_1,Eje1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,300,3,"-3,142","3,142",,,,,,,,
link_2,0,"0,191560014270782","-4,38296331717335E-18",0,0,0,"41,7432461481157","1,9310205220817","-1,83315611639491E-16","4,05786478180328E-12","0,423793811309006","7,07949256278302E-17","1,67596873799866",0,0,0,0,0,0,package://assembly/meshes/link_2.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://assembly/meshes/link_2.STL,,link2-2,Sistema de coordenadas2,Eje2,joint_2,revolute,0,0,"0,496","1,5708",0,0,link_1,0,0,1,200,3,"-1,57","1,57",,,,,,,,
link_3,"0,121182198441889","-0,136185998839769","-0,0100000000304142",0,0,0,"32,5621952947336","0,913688737120272","0,107723690437499","-1,2469518478925E-09","0,203128735188212","-2,19257304101205E-11","1,00099194800661",0,0,0,0,0,0,package://assembly/meshes/link_3.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://assembly/meshes/link_3.STL,,link3-1,Sistema de coordenadas3,Eje3,joint_3,revolute,0,"0,5",0,"-3,1416",0,"1,8978",link_2,0,0,1,200,3,"-3,142",0,,,,,,,,
link_4,"4,894E-08","0,023871","0,01",0,0,0,"2,1294","0,01124","-3,2865E-09","2,2564E-09","0,0038688","8,7078E-11","0,012163",0,0,0,0,0,0,package://assembly/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://assembly/meshes/link_4.STL,,link4-2,Sistema de coordenadas6,Eje4,joint_4,revolute,"0,145","-0,42746",0,"3,1416",0,"-1,2438",link_3,0,0,1,200,3,"-3,142",0,,,,,,,,
