Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.2882E-09,-0.031299,0.09321,0,0,0,156.38,3.3116,1.7604E-07,4.5615E-07,2.6533,0.31966,3.8906,0,0,0,0,0,0,package://assembly.SLDASM/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://assembly.SLDASM/meshes/base_link.STL,,base-1,Sistema de coordenadas1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,1.5626E-10,0.21308,-7.9926E-16,0,0,0,39.19,0.75974,3.425E-09,3.3961E-09,0.29562,2.3789E-17,0.83177,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_1.STL,,link1-1,Origin_joint_1,Eje1,joint_1,revolute,0,0,0.16,1.5708,0,0,base_link,0,1,0,300,3,0,3.142,,,,,,,,
link_2,-6.9389E-17,4.5177E-17,0.68756,0,0,0,41.743,1.931,-4.0579E-12,3.1283E-16,1.676,1.5658E-18,0.42379,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_2.STL,,link2-2,Sistema de coordenadas1,Eje2,joint_2,revolute,0,-0.160000000000001,0,-1.5707963267949,0,0,link_1,0,-1,0,200,3,-1.57,1.57,,,,,,,,
link_3,-0.12872,-0.01,1.1251,0,0,0,32.562,0.21848,4.3897E-10,0.14926,1.001,-2.1175E-09,0.89833,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_3.STL,,link3-1,Sistema de coordenadas1,Eje3,joint_3,revolute,0,0,0,0,0,0,link_2,0,-1,0,200,3,0,3.142,,,,,,,,
link_4,-0.41947,-0.01,1.1424,0,0,0,2.1294,0.011214,2.2551E-09,-0.00043891,0.012163,2.7757E-10,0.003895,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://assembly.SLDASM/meshes/link_4.STL,,link4-2,Sistema de coordenadas1,Eje4,joint_4,revolute,0,0,0,0,0,0,link_3,0,1,0,200,3,0,-3.142,,,,,,,,
